reference,generated_summary
Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.,"Hayden has 1 month to write his thesis and then he has to decide what studies to choose. He is interested in African studies but he doesn't know what he can do in the future to make money. He was thinking about working as a flight attendant, but he can't work there forever."
Alan has found some cinnamon whiskey and sends Robert photos of it. ,"Alan has found a company that sells no sugar, no taste, and additional cinnamon flavoring whiskey. The whiskey goes well with the cinnamon."
Yaz and Mary are meeting tonight around 6 and going for the slimming club together. They expect to be scolded for eating too much. ,Yaz and Mary are going to slimming club tonight. Yaz will pick Mary up at 6 and they will see their old cookery teacher.
Ellie's class is in 342 on the second floor.,Camille is sick. Aaliyah and Ellie
Nathan and Aaron are discussing a video which Nathan sent. ,Nathan sends Aaron a video of a woman having a spiritual moment. Aaron's cat's face looks like that when he's taking a dump.
William is coming back in 5 minutes as he had to queue for 20 minutes.,William has been in a queue for 20 minutes. He will be back in 5 minutes. Emma is
Jake reserved 3 tickets for tomorrow 7 pm. He got 30% discount.,Jake has reserved 3 tickets for tomorrow at 7 pm. Melanie and Bob got a 30% discount on them.
"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.","Freddie is watching Mad Men, Kelly is watching The Crown, Freddie is watching Outlander or The Tudors, Jim is watching I, Zombie, Bob is watching Grimm or Sabrina, Mary is watching Gossip Girl, Nancy is watching Desperate Housewives and Alan is catching up with Friends."
Sonia is going to San Sebastian in a month. Toni enjoyed her the airbnb place there. Sonia isn't convinced about it and will let Toni know.,Sonia and Toni went to San Sebastian last year. They stayed in an airbnb place next to the Playa de la Concha. Sonia is planning to go there in a month or so. Toni recommends the place to Sonia.
"Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.",Samantha and Malik are going to try the paleo and keto diets together. They will go for runs together. Samantha will read more about the diet online.
Derek closed some deals today. Phil didn't manage to do it.,It's been a long day for Derek and Phil. Derek closed some deals but he had a lot of stress. Phil couldn't close any deal.
People are photoshopping Timothée Chalamet into artworks. Dominic and Nova agree that he looks like a 19th century man.,People are photoshopping Timothe Chalamet into artworks. Dominic and Nova think it's hilarious. Dominic thinks he looks like a typical
Peter has been working out at the gym near their office lately to improve his health. Lisa is considering working out and eating better to be healthier.,Peter has been busy with work. Lisa wants to improve her health. Peter works out regularly at the gym. Lisa thinks she needs to eat better to keep in shape.
"Julia broke Tom's cup, which made him sad. She will buy him a new one.",Julia broke Tom's cup. She will buy him a
"The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad.",The CSS tests are today. Don hasn't registered in the system yet. The tests are supposed to last 5-8 pm. Hank and Don's 10-year-old kids will take the tests.
"Jessica bought a table, six chairs, a vase and a pile of clothes and the second hand shop downtown. She paid 70 euros for everything. ","Jessica went to the second hand shop downtown. She bought a table, six chairs, a vase, a pile of clothes and a black dress for 70 euros."
Abigail and Damien are going to church on Sunday. Damien has to put on a coat and tie.,Abigail and Damien are going to church on Sunday. They will wear a coat and tie to show respect to God and others.
Lucian is not at home. Desiree wants Lucian to keep her pasta in the microwave.,Desiree keeps her pasta in the microwave. Luc
Doug has a cool pair of shoes.,Doug and Jeni are
"Tessa doesn't like Chloe texting her boyfriend, Jim Andrews. Jim is Chloe's co-worker so Chloe needs to communicate with him.","Chloe and Tessa work together. Tessa's boyfriend Jim Andrews is taken by Chloe's friend from work, so Tessa wants Chloe to stop texting him."
"Emily, Kate and Marta are going to the Pub X at the central station today for a drink.","Emily, Kate and Marta will meet for a drink at Pub X at the central station at 5.30"
"Jane, Anne and Ella have been to La Perle. Jane ate cheesecake and got an allergic reaction. They are getting out of ER. ",Jane and Ella went to La Perle with Anne. They ordered a cheesecake. Jane is allergic to peanuts. She started swelling after the first bite. 
Railey will buy Tiffany a burger.,Railey will buy a burger
Ariana will do shopping in Midtown. Aviana can't join her.,. Ariana is going shopping in Midtown.
Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume.,Jane is going to Value Village with her sister to buy Halloween costumes. Connor and Maria will join them
"Today Mary didn't go to school, she stayed at home.",Mary stayed at home today
Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,"Tom, Jeffrey and Elena"
Sophia apologizes to Mason. She sends him a kiss photo on his request.,Sophia apologizes to Mason for sending him a kiss photo. Sophia doesn't want Mason to see her when she doesn't look good.
"Steffen twisted his ankle yesterday and needs a lift to the infinity pool. Irene's car probably won't make it up the hill, so they'd have to park at the bottom and hike up. Mr.Budd should make it up the hill since it's a 4-wheel drive.",Steffen twisted his leg yesterday. Irene will give him a lift to the infinity pool. Dan and Sandy will park at the bottom and hike up. Dan is sure Mr. Budd can make it. Luke and Ben have been up the road.
"Jake, Florence, Margot and others are going on a research trip to Swazi. The name of the country was changed last year and it's now Eswatini.","Jake, Florence, Margot, Mike and others are going on a research trip to Eswatini. Swaziland changed the name of the country last year."
Christine is sick and won't come to school tomorrow. Annie will leave Theraflu sachets in a mailbox. Christine doesn't want to get her sick.,Christine has the flu. Annie will drop some Theraflu sachets through her letterbox later on. Christine is not going to be at school tomorrow.
Jill called Sarah. She also sent her some old pictures. ,Jill called Bob's girlfriend and sent her pictures of Bob and Jill. Bob is angry with Jill because she broke up with him. Bob left Jill.
Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter. ,Peter starts his new job on the 6th. Aggie will get a babysitter
Aimee is looking for Maryam.,Soren and Aimee don't know where Maryam
"George, Robert and Paul are going to play basketball on Friday at 7. Yousuf will be late.","George, Robert, Yousuf and Paul are going to play basketball on Friday at 7 p.m"
"Rory wants Mitch to take Bill and Sammy and they'll chip in for gas. Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday. Bill will arrive around 10 am Sunday and Joanna will be picking him. Mitch will meet Bill after.","Rory and Joanna are thinking of signing up Bill and Sammy for an International camp in Croatia. Mitch will go with them on Sunday, the 29th. They will probably put Bill on a Flixbus, so he'll arrive around 10 am Sun."
Jones and Angelina will meet in town in the afternoon.,Angelina and Jones will meet today in town later in the afternoon. Jones will call Angelina
Derek and Alyssa make fun of Fergie's performance of the national anthem.,"Derek and Alyssa like Fergie's national anthem better than the one she sang last week, but Derek finds it funny."
"Pam doesn't have rota for Lauren, but Manager may give Lauren more tomorrow. Pam and Lauren will meet tomorrow and discuss Lauren's holiday. ",Pam will call Lauren in the morning to let her know if she still needs her for tomorrow. Lauren had a good holiday.
Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,"Harriette and her friends went ghost hunting in a run-down building when she was in high school. They didn't find anything, but Harriette found it really creepy."
Jack needs Kev's help as he cannot get the application running. ,Jack can't get the application running. Kev will be with Jack right now to help him out. 
Dan wants to apologize to Angela. They will meet at school later.,Angela will meet with Dan at school later to talk about her relationship with Dan. Dan will explain everything
"Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.",Shaldona and Piper are getting married. Shaldona sent Piper an invitation for their wedding through Messenger. Piper thinks she should give the invitation in person.
Paula and Ralph will meet the new person in an hour. ,Paula and Ralph will
"Ania, Kasia, Zuzia and Jan want to go to the church tomorrow. Ania and Zuzia do not find it appropriate to go to the church with a boy.","Ania, Kasia, Jan and Zuzia will go to the church tomorrow to praise Mary the"
"Harry waits outside. The movie has already started but Ema needs another 5 minutes, which made Harry angry.",Harry is waiting for Ema outside. The movie has already started
"In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.","The Caspian Sea is rich in resources, mostly gas and oil. 80-90% of the world's caviar is sourced from the Casp"
Joe's job is wearing him up. Tim's friend Terry quit his job because he was burned out.,"Joe's job is wearing him out. Tim's friend Terry quit because he was tired and tired, and he had an ulcer."
"Natalie is checking if it's worth going to the new club at Regents Street. Denise thinks the club is great. Judy's friends also recommend the place, so Judy is going there this weekend. Natalie will go to the club with Judy, Miranda and Helen on Saturday.",Judy is going to a new club at Regents Street with Miranda and Helen on Saturday. Natalie wants to go with Judy.
"Jamie, Marlo, Jimmy and Alex's teacher requires their class to divide into 2 groups, each making a presentation. The teacher sent them the presentation subjects via e-mail. Jamie, Marlo, Jimmy and Alex consider dividing the class into groups by gender. ","Jamie, Marlo, Alex and Jimmy are going to do presentations in groups. They will do interviews, transcriptions, compiling material, and writing."
John is in the park. He is leaving now.,"John is at school doing maths. Theresa is waiting for him in the park, but he's leaving"
"There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",Sara and Louis saw a huge crowd outside the book shop today. Louis' friend told him about a new writer who writes about vampires. He was signing copies of his books.
Debbie can't decide between buying a red dress and a green one. On Kelly and Denise's advice she will buy the green one. Kelly is considering buying the red one for herself.,"Debbie is looking for a dress to buy. Kelly recommends the green one, but Denise recommends the red one. Kelly is considering buying the red dress for herself."
Emilia is still angry.,Emilia is still angry
"Tom will help Mia buy a flight ticket as she doesn't have a credit card and doesn’t want to use Peter's now. Tom needs the flight, company and your personal data.","Mia doesn't have a credit card, so Rebecca and Tom will help her buy a flight ticket. She will send Tom the flight, company and personal data"
Hugh has a toothache and needs to go to the dentist. Andy and Wade recommend him dentists at ProDent. Hugh will call ProDent today.,Hugh has a toothache and needs a dentist urgently. Andy recommends ProDent in the centre. Wade needs a check-up too. Hugh will call them tomorrow.
"Before Christmas, Ella's mom won a hundred thousand in a lottery. Both Ella and Noah are excited.",Ella's mom won a hundred dollars in the lottery. Ella and Noah
"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",There was a car accident on Circle Drive. There were no deaths
Rob and Bob are watching the game. Bob will run some errands on the weekend. Jim's birthday is next Wednesday. He might organize a meetup this weekend. Bob will see Rob on the weekend.,Bob and Rob are watching the game. Jim is planning to celebrate his birthday next Wednesday. He might organize a meetup with a few friends at some bar this weekend. Bob will let him know if he wants to come.
"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.",Julie and Debra are going to meet up over the weekend. There will be 20 girls from the village 40+ coming. They will drink vodka.
Mike's had an accident on his motorcycle and he's broken his leg.,Mike had an accident on his motorcycle
David was looking after Ethan's sister. Ethan is grateful. David won't do it again.  ,"David had to babysit Ethan's sister. Avery has told Ethan that David's phone was switched off, so he asked him to say thanks to Avery."
"Conrad can't enter the house because he forgot his keys. Since Rebecca and Tiffany are coming back late, he'll wait in the coffee shop. ",Conrad forgot his keys. Tiffany will be home at 10
Clara and Ron are wondering what that weird smell at Kasia's place last night was.,Clara and Ron noticed a weird smell at Kasia's place last night. They think Kasia had 21 cats roaming around.
"Holly is not feeling very well, so she's not coming to Jake's tonight. ",Holly doesn't feel well and doesn't want to come to Jake
Ludmila's favourite dinosaur when she was little was the Triceratops.,Ludmila's
"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.","Josh, Sean and Logan are going to the pub tonight. Logan"
"Someone left a phone at Liam's place, but it wasn't Indiana.",Indiana left his phone at Liam's place
"Claire is ordering her wedding dress, adviced by Maria and Nicole.","Claire wants to order a dress for the wedding. Nicole, Maria and Nicole recommend it to her. It's not very vivid, but it's perfect for the bride."
"Victor took over Chris's company, which was under a huge debt. He sold the office and did some changes but Chris still works there as Director. David's business goes very slow but he expects it to get better by the end of the year.","Victor has taken over Chris's company. Chris was under huge debt, but he is still working as Director. Victor sold off the office and accommodated them in his office. Victor can own it back anytime he wants. Victor's business is slow, but David expects it to get better by the end of the year."
Patricia is recommending a fair-trade brand to Elle and Florence.,Patricia sends Elle the fair-trade brand she's been talking about. Elle will look into
"Ethan didn't come to the party last night because he is in Los Angeles. Abigail didn't know about it. Ethan will be back in a couple of days, the he will reach out to Abigail.",Ethan didn't attend the part last night because he is in Los Angeles. He will be back in 3 or 2 days.
Stan is meeting the girl of his dreams today in Pat&Gill's. Later he's going to tell Dave how his date went.,Stan is going to take his girlfriend to Pat&Gill's today. She replied to Stan's message. 
Miro speaks Albanian with his parents. His family left Albania illegally in 1990s.,Abby met Miro's father yesterday at the party. His father came from Albania to the US in the early 1990s. He speaks only Albanian with his parents.
"Julie has just watched a Japanese horror. She's alone at home and really scared. Paula and Rose are going to come to her place for a spontaneous sleepover. They'll drink cocoa and watch ""When Harry met Sally."" Rose will bring cookies.","Julie is home alone and scared after watching a Japanese horror movie. Paula will come over to Julie's to watch ""When Harry met Sally"" with her and Rose."
Lucy is panicking because her daughter is 15 now and she is not sure she is prepared as a mother.,Lucy's little girl is 15 years old. Lucy and Patricia don't see things the same way as Lucy and Pat. Lucy is not as good as she always wanted to be.
"Dan,Tim, Chris and Martin will meet at 8. Dan and Martin will take it easy this time. Tom can't make it as he has a party at in-laws.","Dan, Tim, Chris and Martin are going out on Saturday at 8. Tom is out. They are going to a party at in-laws on Sunday at noon."
"Casey got a new nail polish and did her nails herself. It took her nearly 4 hours, so she won't do her friends' nails, as it takes too long.",Casey did her nails herself. She got a new nail polish but it took her 4 hours. Amelia and Kristen want Casey to do their nails.
"Sharol forgot about her sociology assignment. She needs to research feminist act, and it's due tomorrow. Kate has already finished it, and she rushes Sharol.",Sharol is bored. Kate reminds Sharol about the sociology assignment. Sharol forgot about it. The assignment is due tomorrow.
"Jack had to miss school because he is sick. Jamie was sick a lot last year but he got better thanks to doctor Tornez at City Medical Centre, next to the mall. Linda learns the school trip has been cancelled as many students are sick.",Jamie was sick at school today. Jack is sick with a fever and a cough. Half of the class is sick. The school trip is off.
Tim does not need mum for anything important at the moment.,Tim hasn't seen his mother in a while
Kate believes her boyfriend's mother dislikes her. He is a nerd who lives and has always lived with his mother and grandmother.,"Caroline's first gf lives at home with her 26-year-old boyfriend, who lives with his mother and grandmother. He's an introvert."
Vincent's new lamp should be ready to be picked up on Tuesday.,Vincent broke his lamp with his bare hand. He was playing with his cat with a ribbon. The new lamp will be ready to pick up on Tuesday.
"Nestor wanted to buy a laptop on Black Friday sales, but Olaf advise against it, as the prices in reality are not reduced. Nestor will check it if Olaf helps him to get a good deal from a guy he knows.",Nestor is thinking of buying a new laptop. Olaf advises Nestor to check the prices of the chosen products when the promotion is still on and check them again when it's over. Nestor is going to the mall tomorrow to look for a good deal on a laptop.
"Nancy asks Vic and Phil about various social media, which prompts them to discuss and compare the different platforms. Phil is not into Instagram but likes Twitter. Vic prefers Facebook over Twitter and likes Instagram. Phil and Vic both don't use Tumblr. ","Vic prefers Facebook to Twitter because he can interact with his friends. Vic, Phil and Nancy don't use Instagram. Vic doesn't have an account on Tumblr. Vic likes to observe fitness accounts."
"Amanda and Peter don't like what the man in dreads looks like, but Dan does.",Peter and Dan have seen
James will pick up the car after his work tomorrow. Sue already have sent him money. ,James will pick the car up after work
Jess is in a traffic jam in West Bronx.,Jess is in a traffic
"Dima's laptop is broken, as her cat spilled coffee on the laptop. Dima is worried, because she has to deliver a translation for Trados tomorrow. Dima will come to Nada in an hour to borrow Nada's laptop. ",Dima's laptop is broken and he has to deliver a translation tomorrow at 9. Nada lent it to her brother. Dima will pick it up in an hour.
"Afterwards, Kelly wandered around and met some people from school. She also met him. They almost didn't talk and he was with someone. ","Kelly went to the pub at 2 am. She met people from school. She told him a few words, he heard from her a bit."
Anne is inviting Adele for Easter. Adele will bring some chocolate eggs.,Adele will bring eggs to Anne and Louise for Easter on Friday.
"Melody's 5-year-old laptop is broken. Tomorrow she'll know what's wrong. She won't be repairing it, because her laptop is too old. Instead, she'll buy a new one.",Peggy's computer has been broken for 5 years. It might be something with the circuit board. Melody recommends the mac model that she has.
Jerry will be home in 40 minutes. ,"Jerry will be home in 40 minutes. Janet will be waiting for him. Janet's day was ok, but her boss is a bitch."
They are going to do some research on holiday options and discuss them later. They will most likely choose a cheap offer from a tour operator.,"Mark, Anna, Julia and George are going on a self-organised tour. They will choose one of the cheaper options from a tour operator from a 5* hotel."
"Del accused Stanley of having an affair, because he couldn't go with her this weekend due to his work. They've only been together for 4 months, so it's not a good sign. Now Bill and Stanley need to take care of the Lidem project. Division of tasks is on Stanley, because Alison is unreachable.",Stanley can't go to the weekend with Del because of work. She accused him of having an affair. He will talk to her when she's back. Bill needs to take care of the Lidem project.
Kimberly might have left her umbrella she got from her mother at the cafe yesterday. Laura gives her the cafe's phone number to check with the staff.,Kimberly left the cafe yesterday with her pinkish-blue umbrella. She got it as a present from her mother a few years ago. She will call the cafe to see if a customer or waiter found it.
Catherine applied for an accounting position at Pandora. Jake has been working there for 5 years. This job offers a clear career path and benefits. Jake got promoted twice with salary increase. Catherine will have an interview on Monday.,Catherine applied for an accounting position at Pandora. She will have an interview on Monday. Jake will give her a call after the interview.
Anna will go with Fiona to a doctor tomorrow at 8 a.m.,Anna will go with Fiona to the doctor tomorrow at 8
Pipe under the wash basin exploded when Dan wanted to wash his hands. Andrea is going to write to the owner about it.,Dan wanted to wash his hands but the pipe under the wash basin exploded. Andrea will write to the owner and Dan will do it himself
Both Claire and Linda are making curry for dinner. ,Linda is cooking curry for dinner.
Matt will be staying with homestay parents for one more month. They seem to talk more to Carlos. They have higher electricity bills because Matt spends a lot of time at home.,Matt feels his homestay parents don't treat him well. They take Carlos for subway trips and prefer talking to him. They have to pay more for electricity because he stays at home.
"Ann thanks Katie for hosting her son Tim on Monday evening and driving him to the railway station next morning. Kate will send a message to Tim tomorrow, to ask about the place where she should be waiting for him.",Katie and Ann spent a week end together 20 years ago in Saint Fargeau. Katie will send Ann's son Tim a text to tell him where to pick him up tomorrow.
Ahmed wants Sharon to move in with him but she's afraid of her parents' reaction. Ahmed is angry.,"Sharon is grounded because of her parents' behavior. Ahmed wants her to move in with him, but she is still a student and she has to work."
Rob is disappointed with memes he watches. Tom suggests he should get a girlfriend instead of complaining about the memes.,"Today's memes mostly refer to things that are either completely stupid, or have no humour value. Tom wants Rob to get"
Mike will refill the hand sanitizer on Grace's request.,Mike will get the hand sanitizer
"Cheryl had an argument with her mom. She forgot to close the window, got angry and started a fight. Her mom gave her time till the end of the year to move out.",Cheryl had an argument with her mom and she was kicked out of the house. She doesn't have to move until the end of the year.
David lands at 17:30 at Sevilla airport and Victor will pick him up.,David is landing at 17:30 at Sevilla. Victor will pick him up from the airport. 
Ann wants to buy Josh's laptop for $200. Josh doesn't want to negotiate the price. Ann will take it for $250 with accessories. ,Ann will pay 200 dollars for the laptop. Josh has a bag and a small USB mouse. Ann will pick it up
"Mike wants someone else to do the washing up this time. Sara agrees, but when she returns from the cinema she is at with Jack.",Sara will do the washing up when she gets back from the cinema with Jack. Sam will not join her this time. 
Gary is a driver for Uber and he really enjoys it.,"Gary is driving for uber. Ellie told him it was a terrible idea, but he loves it. Gary has met a lot of cool people."
Kristi needs new trainers. Leah has a link for a discount coupon at an online store.,Kristi will get a 20% discount on all the items on Direndia45 online shop. Leah will get some accumulated money for the shopping next time.
Steve is calling Sue at her request.,Steve will call Sue when
Andre is shocked after reading the news about a bear attack at the zoo. Megan is not surprised that an animal kept in a cage reacted that way.,Andre and Megan are shocked about the bear attack on the zoo. They think keeping animals in cages is cruel and
Barbara got the confirmation email from AES. Mick did not get the email and will call them.,Mick didn't get the
"Allison send Alan budget estimation for this year. Extra other expenses are boss's trip to Japan, for a convention.","Allison sent Alan the file with the budget estimation for the current year. The boss had to come back from Japan for the convention, so they doubled the costs"
Liam and Nate will meet spontaneously in 15 minutes.,Nate will be ready in 10. Liam will be there in 15
Carl will compete in championship this year. Duncan can't miss this event. Carl will register his family members as VIP.,Duncan and Carl are going to watch their youngest cousin sweep away the title at the championship. Duncan has reserved a place in the VIp.
Dinny's afraid of Terry's dog so he should keep it away.,Terry will take his dog away
Anastasia sent her new school photos to Darrell.,Anastasia and Darrell took their new school photos. They took the photo in less than a minute. Anastasia needed a new one for her school ID. 
Kim is going with Jane to Seoul in April. Jane will be their tour guide.,Kim is going to Seoul in April with Jane. Jane will be their tour guide. Mark would like to come as well. 
Dad of Aubrianna's friend died of malaria in Kongo.,Aubrianna's friend's
"Josh is upset, because he lost his new sneakers on Tuesday. Josh has already called the gym, but they didn't find anything. Josh will check the swimming pool and give Mark a call.","Josh lost his new sneakers last Tuesday. He thought he left them in the gym, but they said nothing was found when they're closing. Josh will try to check the swimming pool."
It's Valentine's day. Bella plans to order some pizza home. Aria will come to Warsaw as soon as she quits. This year Bella will probably go to Korea to get regular checkup. ,It's Valentine's Day. Bella is in Warsaw. Aria will come to Warsaw as soon as she quits. Bella will probably go to Korea to get regular checkup.
No one wants to play ball with Sawyer tonight.,Wheeler and Sutter are going to a ball game tonight at 5
Daina needs about an hour more to get ready.,Daina needs to put on her make-up.
Viola is having her wedding soon and still has some things to organize. Carmen comes on Friday and is willing to help Viola.,Viola has some things to organize before the wedding. Carmen will be on Friday night and will help her. Carmen gives Viola her phone number.
Madeline is in conflict with Martin and Jada. Alex and Madeline will go for a beer tomorrow. Madeline will explain her issues with Martin and Jada to Alex.,Madeline and Alex had a little argument today. They are going for a beer after. They will see each other in 8 hours.
Mom wants Betty to call the grandfather from time to time.,"Betty has been busy, so she hasn't talked to Mom and Grandpa. She will check in with them soon."
"William is making spaghetti alla vongole for dinner. It's an Italian dish and it involves pasta, garlic, wine and clams.","Whitney and William are going to have spaghetti alla vongole for dinner. William will cook pasta, garlic, garlic golden, wine and clams."
"Maria suggests to meet after the IMF lecture to discuss the presentation which is due on Monday. Maria, Alexander, Martha and Sarah will meet tomorrow at 17:15. Lawrence will be late.","Maria, Alexander, Sarah, Lawrence, Martha and Lawrence will meet tomorrow at 17:15 at the IMF lecture. They will discuss all remaining questions after and do the calculations."
Molly and Anna will go to the Muse concert in Cracow.,Molly has a free ticket to the Muse concert in Cracow
"Tabby has 2 exams next week. Laura passed all her exams but one. Tabby may come to Daisy's party on Saturday, depending on her studying progress. ",Tabby has 2 exams next week. Laura passed all exams but one. Tabby and Laura are going to Daisy's party on Saturday.
Becky and Trent are taking care of Joel's cat Coco. Coco likes them both and is behaving rather well so far. ,"Becky and Trent's cat, Coco, is a total gem. It took them 2 days to win her over, but she's behaving well so far."
Sosie will be at Kyra's flat in 5 minutes. The flat number is 187.,Sosie will be at Kyra's
"Ronnie uses three different bins for waste. He doesn't use straws, neither plastic bags. Clint and Ronnie agree that environment protection depends on the government. ","Ronnie uses three different bins: compost, recycle and trash. Ronnie's city was one of the cities that banned plastic bags in grocery stores and straws in restaurants."
Adam called Tina. She is at work. Her cell's battery's low. She will cal Adam later in the evening or tomorrow after 9 am.,Tina is still at work. Adam wants her to call him when she's back home. She will call him tomorrow at 9.
Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.,"Sally, Tom, Henriette and Greg are curious about Natalie. Jane doesn't want them to talk about it because Natalie told them in confidence."
Nick will got some lunch for Steve - it can be anything but chicken. ,Nick will buy lunch for Steve
"Gemma will invite Timmy and his Date, as well as Lona and Michelle to her wedding.",Gemma wants to invite Timmy and his date to Lona and Michelle's wedding receptions. Timmy is not sure about the date.
"Millie is sick, so she won't come today.",Millie won't come
Lisa isn't going home yet. Daisy wants her to be back before 11 p.m.,Daisy will be back
Tina will make it for the bus that is leaving in 3 minutes.,Sophie's bus is leaving in
Sophie accepts some quince from Noah. Noah has left the quince in a basket on his terrace and the twins can pick it up any time. The twins are in college. Noah's son is in the military. He is still single but reportedly not gay.,Sophie is interested in the quince Noah gave her the other day. William collected the rest of them for her immediately. Noah's twins will come from Notts tomorrow afternoon and will collect them from their terrace.
"Harry goes to Ikea. He will buy some furniture, frozen cake and a bag of meatballs for Sarah. Harry will use Sarah’s Ikea Family card.","Harry is going to Ikea. He will buy a white table cloth 120 cm x 140 cm, two medium size wardrobe organisers, one wooden spatula and three bottle cleaners for Sarah. Sarah will use her Ikea Family card."
"Cindy is sad, but doesn't want to talk about the reason. Ellie hasn't seen the funny video that went viral. ","Cindy is sad, but she doesn't want to talk about it. "
Jannet thanks Nadia for coming to her place yesterday. Nadia enjoyed the party and is still in a dancing mood. They are going to the disco next time.,Jannet and Nadia had fun yesterday. Nadia and Jannet will go to the disco the next time they are together.
Jeff and Mark are amazed by his car. They bet 100 dollars who gets to drive it first.,"Mark and Jeff want to drive Jeff's new car. Mark wants to be the first one to try it out, but Jeff will let him first."
"Ann, Sue and Julie did a great job and they will have a little celebration tonight.","Ann, Sue and Julie did well. They are going to celebrate tonight"
Kathy had her hair cut.,Kathy's aunt is getting a haircut today. Kathy is also going to get something done today. Olivia is just chillin today.
"Claudia, Andy and Mark stayed after hours at Mr. Benson's request. Mr. Benson is currently discussing a contract with a new client in Per and he wants to organize their work remotely.","Mr. Benson is in Peru discussing a contract with a new client. Mr. Benson needs Claudia, Andy and Mark to discuss their work while he's away."
"Jane thinks Den's mum needs to get out more, so Den suggests to invite her for tea, fish and chips on Friday after work.",Den's mother cried over the TV show with Phil and Holly this morning. Jane thinks she needs to get out of the house more. Den will invite her for tea on Friday
Mum is at school in front of the door. Ludo's rooms is 112 and his class is class 3. The same goes for Hugo and Charles. The building is big and has a big garden. The meeting is about to start.,"Mum is in room 112 with Hugo and Charles. Ludo is in class 3. Mum will show Ludo the room, but she can't see the room."
Chandler asks Phoebe to open the door and pay the delivery guy standing outside his door.,Phoebe is on her way to Chandler's to pay the delivery
Max's sister is studying in Shanghai and she already speaks Chinese. She doesn't find the whole experience amazing but she believes it's a good investment.,Max's sister is studying in China. She thinks it's a good investment. Shanghai has 25 million inhabitants. Every 5th earthling is Chinese.
Russ received David's report but hasn't read it yet.,Russ hasn't read the report David emailed yesterday yet. He will take a look at the report in a moment and will send him remarks if he has any. He
Ben won't go with Catherine to visit uncle Steve. He will visit her and the boys. ,Catherine and the boys are going to visit their uncle Steve. Ben doesn't want to go with them as he's not fond of such visits. Ben will come and visit them when he has the chance.
"Kaya is looking for Clay, who is in the classroom.",Clay is in the class room
Alice and Sean will wash the car on their way tomorrow.,Sean won't be able to take the car to the carwash because he has to finish his report first. Alice and Sean will
Julia will be waiting for Bert with the dinner. Bert is coming home around 8.,Bert is getting home at 8-ish. Julia will wait for him with the dinner. Bert
Steve is happy that he got a new dishwasher installed.,Steve's dishwasher has been installed. It's a 12 place setting one. He doesn't have to put it on every day.
Michelle is still researching and Harvey cannot wait all day for the update. Michelle can't see most of the things as it's black hat and it installs bugs on her computer.,"Michelle is still researching. She is back on her computer. Harvey is waiting for an update. He can't wait all day, because half of the stuff"
Joy is coming back on Thursday.,Joy is coming back on Thursday. Bill and Joy miss each other
"Julia was at cafe Kohaku near Covent Garden last week, but it's closed down now to her and Henry's surprise. She contacted the owners, but they haven't replied yet. Henry and his cousin went to the Lily's in the end, but it had a different vibe.",Cafe Kohaku near Covent Garden is no longer open. The owners haven't replied to Julia and Henry's request to contact them. Julia and her cousin went to Lilly's instead.
Olivia has to sort out her accounts and upload a few videos on YouTube. Jake is complaining that Sony Music tried to appropriate his own music.,"Olivia has no plans for the day, but she has some things to do. She needs to do her accounts and get all the incoming and outgoing invoices sorted by months. She also has a few videos she needs to upload to YouTube."
Emily's a guest at Linda's house. She broke one of Linda's green tea cups when she was cleaning the cupboards. Linda doesn't like them and she offers Emily the whole set.,Emily has broken one of Linda's green tea cups. She was cleaning the cupboards in the dining room. She made a cuppa in the green one and it happened.
Camilla and Tom will go to Dublin this weekend.,Tom and Camilla are going to Dublin this weekend. Tom is buying the tickets.
"Stella doesn't want to visit Sandra because she doesn't want to get infected by Sandra's disease. Sandra's doctor prescribed her effective medicines, so she will be fine soon. Stella wants to take Sandra to the cinema for some action movie when she recovers.","Sandra has recovered from the disease she's been carrying. Stella wants to take her to the cinema, but she doesn't want to spread the disease. Stella will do some research in her friends' midst and try to choose the best movie for Sandra."
